"DS","GCM","OBS","var","scen","files","title"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A22P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A24D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A24L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A24P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A28D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A28L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A28P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A32D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A32L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-DeltaSD-A32P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A34D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A34L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-DeltaSD-A34P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A38D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A38L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Precipitation"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-DeltaSD-A38P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Precipitation"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A22P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A24D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A24L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A24P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A28D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A28L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A28P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A32D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A32L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily High Temperature","RCP 2.6","tasmax_day_I35txdetrp1-DeltaSD-A32P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A34D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A34L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily High Temperature","RCP 4.5","tasmax_day_I35txdetrp1-DeltaSD-A34P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A38D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A38L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily High Temperature"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily High Temperature","RCP 8.5","tasmax_day_I35txdetrp1-DeltaSD-A38P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily High Temperature"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","CCSM4","Daymet v. 2.1","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","CCSM4","Livneh v. 1.2","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","CCSM4","PRISM AN81d v. D1","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A22P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A24D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A24L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A24P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","MIROC5","Daymet v. 2.1","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A28D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","MIROC5","Livneh v. 1.2","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A28L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","MIROC5","PRISM AN81d v. D1","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A28P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MIROC5 downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A32D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A32L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily Low Temperature","RCP 2.6","tasmin_day_I35tndetrp1-DeltaSD-A32P01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A34D01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A34L01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily Low Temperature","RCP 4.5","tasmin_day_I35tndetrp1-DeltaSD-A34P01K00_rcp45_r1i1p1_I35Land_20060101-20991231.nc","RCP 4.5, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","Daymet v. 2.1","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A38D01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with Daymet v. 2.1 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","Livneh v. 1.2","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A38L01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with Livneh v. 1.2 - Daily Low Temperature"
"DeltaSD","MPI-ESM-LR","PRISM AN81d v. D1","Daily Low Temperature","RCP 8.5","tasmin_day_I35tndetrp1-DeltaSD-A38P01K00_rcp85_r1i1p1_I35Land_20060101-20991231.nc","RCP 8.5, MPI-ESM-LR downscaled with DeltaSD trained with PRISM AN81d v. D1 - Daily Low Temperature"
"QDM","CCSM4","Daymet v. 2.1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-QDM-A12D01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with QDM trained with Daymet v. 2.1 - Daily Precipitation"
"QDM","CCSM4","Livneh v. 1.2","Daily Precipitation","RCP 2.6","pr_day_I35prp1-QDM-A12L01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with QDM trained with Livneh v. 1.2 - Daily Precipitation"
"QDM","CCSM4","PRISM AN81d v. D1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-QDM-A12P01K00_rcp26_r6i1p1_I35Land_20060101-20991231.nc","RCP 2.6, CCSM4 downscaled with QDM trained with PRISM AN81d v. D1 - Daily Precipitation"
"QDM","CCSM4","Daymet v. 2.1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-QDM-A14D01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with QDM trained with Daymet v. 2.1 - Daily Precipitation"
"QDM","CCSM4","Livneh v. 1.2","Daily Precipitation","RCP 4.5","pr_day_I35prp1-QDM-A14L01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with QDM trained with Livneh v. 1.2 - Daily Precipitation"
"QDM","CCSM4","PRISM AN81d v. D1","Daily Precipitation","RCP 4.5","pr_day_I35prp1-QDM-A14P01K00_rcp45_r6i1p1_I35Land_20060101-20991231.nc","RCP 4.5, CCSM4 downscaled with QDM trained with PRISM AN81d v. D1 - Daily Precipitation"
"QDM","CCSM4","Daymet v. 2.1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-QDM-A18D01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with QDM trained with Daymet v. 2.1 - Daily Precipitation"
"QDM","CCSM4","Livneh v. 1.2","Daily Precipitation","RCP 8.5","pr_day_I35prp1-QDM-A18L01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with QDM trained with Livneh v. 1.2 - Daily Precipitation"
"QDM","CCSM4","PRISM AN81d v. D1","Daily Precipitation","RCP 8.5","pr_day_I35prp1-QDM-A18P01K00_rcp85_r6i1p1_I35Land_20060101-20991231.nc","RCP 8.5, CCSM4 downscaled with QDM trained with PRISM AN81d v. D1 - Daily Precipitation"
"QDM","MIROC5","Daymet v. 2.1","Daily Precipitation","RCP 2.6","pr_day_I35prp1-QDM-A22D01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with QDM trained with Daymet v. 2.1 - Daily Precipitation"
"QDM","MIROC5","Livneh v. 1.2","Daily Precipitation","RCP 2.6","pr_day_I35prp1-QDM-A22L01K00_rcp26_r1i1p1_I35Land_20060101-20991231.nc","RCP 2.6, MIROC5 downscaled with QDM trained with Livneh v. 1.2 - Daily Precipitation"
